title,body,labels
"M0-01: Create repo skeleton with `src/`, `cli/`, `docs/`, `tests/`, `examples/`, `cpp/`, `schemas/`.","**Phase:** M0 — Foundation & Governance
**Task ID:** M0-01

**Description**
Create repo skeleton with `src/`, `cli/`, `docs/`, `tests/`, `examples/`, `cpp/`, `schemas/`.

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M0
"M0-02: Add MIT license, CODE_OF_CONDUCT, SECURITY.md, CONTRIBUTING.md.","**Phase:** M0 — Foundation & Governance
**Task ID:** M0-02

**Description**
Add MIT license, CODE_OF_CONDUCT, SECURITY.md, CONTRIBUTING.md.

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M0
M0-03: Define versioning strategy (SemVer + schema versioning).,"**Phase:** M0 — Foundation & Governance
**Task ID:** M0-03

**Description**
Define versioning strategy (SemVer + schema versioning).

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M0
"M0-04: Define threat model document (offline constraints, policy bypass risks).","**Phase:** M0 — Foundation & Governance
**Task ID:** M0-04

**Description**
Define threat model document (offline constraints, policy bypass risks).

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M0
"M0-05: Add project glossary (target types, module, task, event, artifact).","**Phase:** M0 — Foundation & Governance
**Task ID:** M0-05

**Description**
Add project glossary (target types, module, task, event, artifact).

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M0
"M0-06: Define compatibility policy for plugins (min core version, deprecation policy).","**Phase:** M0 — Foundation & Governance
**Task ID:** M0-06

**Description**
Define compatibility policy for plugins (min core version, deprecation policy).

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M0
M0-07: Decide canonical config format (YAML + JSON).,"**Phase:** M0 — Foundation & Governance
**Task ID:** M0-07

**Description**
Decide canonical config format (YAML + JSON).

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M0
"M0-08: Create “core contracts” doc (TaskSpec, Event, Finding, TargetProfile, Artifact).","**Phase:** M0 — Foundation & Governance
**Task ID:** M0-08

**Description**
Create “core contracts” doc (TaskSpec, Event, Finding, TargetProfile, Artifact).

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M0
"M1-01: Define Event schema (type, timestamp, run_id, payload, provenance).","**Phase:** M1 — Schemas & Contracts
**Task ID:** M1-01

**Description**
Define Event schema (type, timestamp, run_id, payload, provenance).

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M1
"M1-02: Define TaskSpec schema (module, objective, params, policy_context).","**Phase:** M1 — Schemas & Contracts
**Task ID:** M1-02

**Description**
Define TaskSpec schema (module, objective, params, policy_context).

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M1
"M1-03: Define Finding schema baseline (id, title, severity, confidence, target refs, evidence refs, provenance, timestamps).","**Phase:** M1 — Schemas & Contracts
**Task ID:** M1-03

**Description**
Define Finding schema baseline (id, title, severity, confidence, target refs, evidence refs, provenance, timestamps).

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M1
"M1-04: Define Artifact schema (path, checksum, mime, source, created_at).","**Phase:** M1 — Schemas & Contracts
**Task ID:** M1-04

**Description**
Define Artifact schema (path, checksum, mime, source, created_at).

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M1
"M1-05: Define TargetProfile schema (type, inputs, scope, credentials, policy flags).","**Phase:** M1 — Schemas & Contracts
**Task ID:** M1-05

**Description**
Define TargetProfile schema (type, inputs, scope, credentials, policy flags).

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M1
M1-06: Implement JSON schema validation for all core entities.,"**Phase:** M1 — Schemas & Contracts
**Task ID:** M1-06

**Description**
Implement JSON schema validation for all core entities.

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M1
M1-07: Add schema version bump rules + migration strategy.,"**Phase:** M1 — Schemas & Contracts
**Task ID:** M1-07

**Description**
Add schema version bump rules + migration strategy.

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M1
"M2-01: Build Event Bus interface (publish/subscribe, filters, backpressure).","**Phase:** M2 — Core Runtime Spine
**Task ID:** M2-01

**Description**
Build Event Bus interface (publish/subscribe, filters, backpressure).

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M2
"M2-02: Implement Orchestrator run loop (task queue, state transitions).","**Phase:** M2 — Core Runtime Spine
**Task ID:** M2-02

**Description**
Implement Orchestrator run loop (task queue, state transitions).

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M2
"M2-03: Implement Policy Engine skeleton (allowlist, dry‑run, approvals).","**Phase:** M2 — Core Runtime Spine
**Task ID:** M2-03

**Description**
Implement Policy Engine skeleton (allowlist, dry‑run, approvals).

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M2
"M2-04: Build State Store interface (CRUD for targets, tasks, findings).","**Phase:** M2 — Core Runtime Spine
**Task ID:** M2-04

**Description**
Build State Store interface (CRUD for targets, tasks, findings).

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M2
"M2-05: Build Artifact Store interface (write/read, checksums, retention).","**Phase:** M2 — Core Runtime Spine
**Task ID:** M2-05

**Description**
Build Artifact Store interface (write/read, checksums, retention).

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M2
M2-06: Implement run lifecycle (init → run → finalize → report).,"**Phase:** M2 — Core Runtime Spine
**Task ID:** M2-06

**Description**
Implement run lifecycle (init → run → finalize → report).

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M2
M2-07: Implement replay mechanism from `events.jsonl`.,"**Phase:** M2 — Core Runtime Spine
**Task ID:** M2-07

**Description**
Implement replay mechanism from `events.jsonl`.

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M2
M2-08: Add audit log entry for every policy decision.,"**Phase:** M2 — Core Runtime Spine
**Task ID:** M2-08

**Description**
Add audit log entry for every policy decision.

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M2
M3-01: Implement JSONL event log writer/reader.,"**Phase:** M3 — Storage & Persistence
**Task ID:** M3-01

**Description**
Implement JSONL event log writer/reader.

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M3
M3-02: Implement SQLite state schema + migrations.,"**Phase:** M3 — Storage & Persistence
**Task ID:** M3-02

**Description**
Implement SQLite state schema + migrations.

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M3
M3-03: Link events to state updates (projection logic).,"**Phase:** M3 — Storage & Persistence
**Task ID:** M3-03

**Description**
Link events to state updates (projection logic).

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M3
M3-04: Build “run export” bundle (events + state + artifacts).,"**Phase:** M3 — Storage & Persistence
**Task ID:** M3-04

**Description**
Build “run export” bundle (events + state + artifacts).

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M3
M3-05: Add artifact integrity validation (checksums + manifest).,"**Phase:** M3 — Storage & Persistence
**Task ID:** M3-05

**Description**
Add artifact integrity validation (checksums + manifest).

**Checklist**
- [ ] Implement
- [ ] Tests
- [ ] Docs
",phase:M3
